=====================================================================================
2020-09-19 16:20:03:208 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-19 16:20:03:364 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-19 16:20:03:465 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-19 16:20:04:424 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-19 16:20:04:669 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-19 16:20:04:989 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:20:04:995 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:20:04:995 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-19 16:21:07:958 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-19 16:21:08:071 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-19 16:21:08:155 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-19 16:21:08:561 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-19 16:21:08:803 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-19 16:21:08:984 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:21:08:994 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:21:08:994 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:21:20:177 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-19 16:21:20:263 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-19 16:21:20:746 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-19 16:21:21:003 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-19 16:21:21:165 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:21:21:178 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:21:21:178 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-19 16:21:27:201 => [                                            kfullscandlg.cpp, 00238] => Scan started at:23:21:27
2020-09-19 16:21:46:874 => [                                            kfullscandlg.cpp, 00260] => Scan finished at:23:21:46
=====================================================================================
2020-09-21 13:40:31:981 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 13:40:32:523 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 13:40:32:617 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 13:40:33:008 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 13:40:33:258 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 13:40:33:445 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 13:40:33:445 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 13:40:33:445 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 13:40:55:973 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 13:40:56:070 => [                                          kvolumemanager.cpp, 00227] => Disk1, SAMSUNG HD161GJ SATA, CHS:19457,255,63, total sectors: 312581808, bytes per sector = 512
2020-09-21 13:40:56:540 => [                                          kvolumemanager.cpp, 00227] => Disk2, TO Exter nal USB 3.0 USB, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
2020-09-21 13:40:56:799 => [                                          kvolumemanager.cpp, 00248] => Disk2 set alignmentFactor =AlignToMB
2020-09-21 13:40:56:956 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 13:40:56:977 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
2020-09-21 13:40:56:977 => [                                             dynamicdisk.cpp, 00268] => Invalid private header in DiskGroup[].
=====================================================================================
2020-09-21 13:42:02:591 => [                                                    main.cpp, 00261] => set font: Arial
2020-09-21 13:42:02:700 => [                                          kvolumemanager.cpp, 00227] => Disk0, Vaseky V800/120G SATA, CHS:14593,255,63, total sectors: 234441648, bytes per sector = 512
